seccion,tipo,id_casilla,domicilio,ubicacion,referencia,lat,lng
0472,BASICA,1,"EMILIANO ZAPATA, SIN NÚMERO, PUEBLO NUEVO, CÓDIGO POSTAL 68018, OAXACA DE JUÁREZ, OAXACA",CORREDOR DE LA CASA EJIDAL,ENTRE LAS CALLES AQUILES SERDÁN Y VICENTE GUERRERO,17.1118185,-96.73735669999990
0472,CONTIGUA,1,"EMILIANO ZAPATA, SIN NÚMERO, PUEBLO NUEVO, CÓDIGO POSTAL 68018, OAXACA DE JUÁREZ, OAXACA",CORREDOR DE LA CASA EJIDAL,ENTRE LAS CALLES AQUILES SERDÁN Y VICENTE GUERRERO,17.1118185,-96.73735669999990
0473,BASICA,1,"ROTONDA ENRIQUE C. RÉBSAMEN, SIN NÚMERO, DEL MAESTRO, CÓDIGO POSTAL 68016, OAXACA DE JUÁREZ, OAXACA",CANCHA DE USOS MÚLTIPLES,ENFRENTE DEL INSTITUTO DE INVESTIGACIONES SOCIALES Y HUMANAS,17.1066516,-96.7528674
0474,BASICA,1,"PRIVADA DE LÓPEZ COTILLA, SIN NÚMERO, EL MAESTRO, CÓDIGO POSTAL 68016, OAXACA DE JUÁREZ, OAXACA",ESTACIONAMIENTO DE LA ESCUELA SECUNDARIA TÉCNICA NÚMERO 108,ENTRE LAS CALLES JUAN B. TOLEDO Y ANDRÉS PORTILLO,17.1028418,-96.7470935
0475,BASICA,1,"NETZAHUALCÓYOTL, SIN NÚMERO, FRACCIONAMIENTO VISTA HERMOSA, CÓDIGO POSTAL 68016, OAXACA DE JUÁREZ, OAXACA",CANCHA MULTIDISCIPLINARIA VISTA HERMOSA,"ENTRE LAS CALLES CUITLÁHUAC Y COSIJOPÍ, ENFRENTE DE LA TERMINAL DE AUTOBUSES",17.0756938,-96.7542333
0476,BASICA,1,"PLAZUELA MADERO, SIN NÚMERO, SAN FELIPE DEL AGUA, CÓDIGO POSTAL 68026, OAXACA DE JUÁREZ, OAXACA",EXPLANADA DE LA AGENCIA MUNICIPAL DE SAN FELIPE DEL AGUA,ENTRE LAS CALLES DE MAGNOLIA E ITURBIDE,17.0969688,-96.7133212
0477,BASICA,1,"NARCIZO MENDOZA, SIN NÚMERO, SAN LUIS BELTRÁN, CÓDIGO POSTAL 68023, OAXACA DE JUÁREZ, OAXACA",CANCHA DE LA AGENCIA DE POLICÍA DE SAN LUIS BELTRÁN,A UN COSTADO DE LA ESCUELA PRIMARIA URBANA 20 DE NOVIEMBRE,17.1014832,-96.6945568
0477,CONTIGUA,1,"NARCIZO MENDOZA, SIN NÚMERO, SAN LUIS BELTRÁN, CÓDIGO POSTAL 68023, OAXACA DE JUÁREZ, OAXACA",CANCHA DE LA AGENCIA DE POLICÍA DE SAN LUIS BELTRÁN,A UN COSTADO DE LA ESCUELA PRIMARIA URBANA 20 DE NOVIEMBRE,17.1014832,-96.6945568
0479,BASICA,1,"SIERRA DE LOS ALPES, SIN NÚMERO, VOLCANES, CÓDIGO POSTAL 68020, OAXACA DE JUÁREZ, OAXACA",AL EXTERIOR DEL DOMICILIO PARTICULAR,ENTRE LAS CALLES ZEMPOALTEPETL Y COFRE DE PEROTE,17.0944674,-96.7049036
0480,BASICA,1,"CAMINO A LA CHIGULERA, SIN NÚMERO, BARRIO LA CHIGULERA, CÓDIGO POSTAL 68026, OAXACA DE JUÁREZ, OAXACA",GALERA DE USOS MÚLTIPLES DEL BARRIO LA CHIGULERA,A 20 METROS DE LA CANCHA DE LA CHIGULERA,17.1093821,-96.7129158
0481,BASICA,1,"CUAUHTÉMOC, SIN NÚMERO, GUADALUPE VICTORIA, CÓDIGO POSTAL 68280, OAXACA DE JUÁREZ, OAXACA",PLAZA CÍVICA DE LA AGENCIA DE POLICÍA EJIDO GUADALUPE VICTORIA,ENFRENTE DE LA AGENCIA DE POLICÍA EJIDO GUADALUPE VICTORIA,17.1074306,-96.7225014
0481,CONTIGUA,1,"CUAUHTÉMOC, SIN NÚMERO, GUADALUPE VICTORIA, CÓDIGO POSTAL 68280, OAXACA DE JUÁREZ, OAXACA",PLAZA CÍVICA DE LA AGENCIA DE POLICÍA EJIDO GUADALUPE VICTORIA,ENFRENTE DE LA AGENCIA DE POLICÍA EJIDO GUADALUPE VICTORIA,17.1074306,-96.7225014
0483,BASICA,1,"JUAN B. TOLEDO ESQUINA ARROYO SECO, SIN NÚMERO, DEL MAESTRO, CÓDIGO POSTAL 68016, OAXACA DE JUÁREZ, OAXACA",CANCHA DE USOS MÚLTIPLES DE LA COLONIA DEL MAESTRO,ENTRE LAS CALLES EDUARDO VASCONCELOS Y VALENTÍN GÓMEZ FARÍAS,17.1025125,-96.7463343
0484,BASICA,1,"RÍO SENA, SIN NÚMERO, FRACCIONAMIENTO LOS SAUCES, CÓDIGO POSTAL 68010, OAXACA DE JUÁREZ, OAXACA",ÁREA DE MESAS DE LA UNIDAD DE LA CASA HOGAR DE ADULTOS MAYORES (CASA DE DÍA),A UN COSTADO DEL JARDÍN DE NIÑOS ÁNGELA PERALTA,17.0924266,-96.7513474
0485,BASICA,1,"CAMINO NACIONAL, SIN NÚMERO, SANTA ROSA PANZACOLA, CÓDIGO POSTAL 68039, OAXACA DE JUÁREZ, OAXACA",AGENCIA MUNICIPAL COMUNITARIA DE SANTA ROSA PANZACOLA,ENTRE CALLE DOS Y CALLE TRES,17.0874112,-96.7469399
