colonia,cp,demarcaciones,reparto_pct,secciones,sugerencia
ALEMAN 2A SECCION,68010,Santa Rosa Panzacola / Cabecera Municipal,90% / 10%,0501 0523,Santa Rosa Panzacola
AZUCENAS,68036,San Martín Mexicapam de Cárdenas / Montoya,66% / 33%,0560 2480,San Martín Mexicapam de Cárdenas
CANDIANI,68130,Candiani / Cinco Señores,77% / 23%,0615 0610 0613 0614 0611,Candiani
COLINAS DE MONTEALBAN,68140,San Martín Mexicapam de Cárdenas / San Juan Chapultepec,89% / 11%,0580 0577 0579 0594,San Martín Mexicapam de Cárdenas
DOLORES,68020,Dolores / Cabecera Municipal,77% / 23%,0514 0495 0496,Dolores
EJIDAL,68010,San Martín Mexicapam de Cárdenas / Montoya,89% / 11%,0541 0524,San Martín Mexicapam de Cárdenas
EL MIRADOR,68070,San Martín Mexicapam de Cárdenas / Cabecera Municipal,63% / 37%,0567 0568 0557,San Martín Mexicapam de Cárdenas
EL ROSARIO,68157,San Juan Chapultepec / Cabecera Municipal,86% / 14%,0597 0590,San Juan Chapultepec
ELISEO JIMENEZ RUIZ,68120,Cabecera Municipal / Candiani,65% / 35%,0607 0606 0614 0613 0611,Cabecera Municipal
ELSA,68010,Guadalupe Victoria / Santa Rosa Panzacola,80% / 20%,0505 0504,Guadalupe Victoria
EMILIANO ZAPATA,68010,Cabecera Municipal / San Martín Mexicapam de Cárdenas,70% / 30%,0540 0559,Cabecera Municipal
ESTADO DE OAXACA,68010,Montoya / Cabecera Municipal / San Martín Mexicapam de Cárdenas,65% / 30% / 6%,0524 0540 0541,Montoya
EX MARQUEZADO,68010,Cabecera Municipal / San Martín Mexicapam de Cárdenas,95% / 5%,0545 0566 0539 0536 0567 0574 0537 0538,Cabecera Municipal
FALDAS DEL FORTIN,68068,Cabecera Municipal / San Martín Mexicapam de Cárdenas,97% / 3%,0557 0536 0567,Cabecera Municipal
GUADALUPE VICTORIA,68026,Guadalupe Victoria / Cabecera Municipal,97% / 3%,0481 0488,Guadalupe Victoria
JARDINES,68140,San Martín Mexicapam de Cárdenas / Cabecera Municipal,60% / 40%,0575 0540,San Martín Mexicapam de Cárdenas
LA JOYA,68018,San Martín Mexicapam de Cárdenas / Montoya,55% / 45%,0560 2480 0542,San Martín Mexicapam de Cárdenas
LA PAZ SAN FELIPE,68050,Cabecera Municipal / Guadalupe Victoria,51% / 49%,0489 0481,Cabecera Municipal
MIRAVALLE,68018,Trinidad de Viguera / Pueblo Nuevo,52% / 48%,0616 0471,Trinidad de Viguera
MONTE ALBAN,68140,San Martín Mexicapam de Cárdenas / San Juan Chapultepec,73% / 27%,0579 0594,San Martín Mexicapam de Cárdenas
SAN FELIPE DEL AGUA,68020,San Felipe del Agua / Guadalupe Victoria / Cabecera Municipal,86% / 10% / 4%,0476 0480 0481 0479,San Felipe del Agua
SAN FRANCISCO,68030,Cabecera Municipal / Guadalupe Victoria,75% / 25%,0523 0505,Cabecera Municipal
SAN JOSE LA NORIA,68120,Cabecera Municipal / Cinco Señores,74% / 26%,0608 0607 0603 0610,Cabecera Municipal
SAN LUIS BELTRAN,68059,Donají / San Luis Beltrán,95% / 5%,0477 0478,Donají
SANTA ANITA,68150,San Juan Chapultepec / Cabecera Municipal,93% / 7%,0597 0605 0590,San Juan Chapultepec
SANTA ROSA PANZACOLA,68039,Santa Rosa Panzacola / Guadalupe Victoria,77% / 23%,0485 0504 0505 0484,Santa Rosa Panzacola
SIETE REGIONES,68023,Cabecera Municipal / San Luis Beltrán,95% / 5%,0493 0494 0478,Cabecera Municipal
VOLCANES,68020,Cabecera Municipal / Guadalupe Victoria,94% / 6%,0490 0491 0497 0496 0479 0481 0492,Cabecera Municipal
