seccion,lista_nominal
0472,3049
0473,1831
0474,1878
0475,1850
0476,1903
0477,2567
0479,1790
0480,2009
0481,3950
0483,1618
0484,1405
0485,1265
0486,1268
0487,1866
0488,1759
0489,1527
0490,1399
0491,1388
0492,1644
0494,1984
0495,1793
0496,1255
0497,1194
0498,1183
0499,1207
0501,1687
0502,2467
0503,928
0504,1612
0505,1222
0506,1006
0507,1657
0508,1007
0509,1213
0510,1221
0511,1447
0512,1077
0513,1308
0514,1417
0515,856
0516,916
0517,1103
0518,944
0519,1136
0520,944
0521,1843
0522,1107
0523,1041
0524,3511
0525,824
0526,953
0527,1216
0528,1512
0529,1068
0530,984
0531,674
0532,840
0533,428
0534,958
0535,1258
0536,667
0537,1004
0538,1007
0539,798
0540,2247
0541,2485
0542,1205
0544,1110
0545,745
0546,615
0547,1165
0548,687
0549,407
0550,496
0551,839
0552,1221
0553,1444
0554,903
0555,836
0556,621
0557,865
0558,814
0559,1799
0560,2692
0561,1171
0562,997
0563,927
0564,1217
0565,802
0566,1013
0567,671
0568,1081
0569,941
0570,802
0571,570
0572,764
0573,733
0574,1203
0575,1376
0576,1786
0577,1471
0578,2189
0579,1636
0580,1162
0581,1087
0582,1150
0583,1054
0584,772
0585,811
0586,1092
0587,1269
0588,961
0589,1137
0590,1259
0591,1086
0592,1326
0594,1838
0595,1224
0596,1886
0597,1415
0598,629
0599,665
0600,1478
0601,1006
0602,1265
0603,639
0604,1010
0605,1374
0606,1035
0607,1227
0608,821
0609,3090
0610,796
0611,1093
0612,1082
0613,928
0614,1020
0615,1192
2454,212
2470,1030
2471,968
2472,1162
2473,629
2474,1741
2475,867
2476,1345
2477,1486
2478,2276
2479,1408
2480,2429
2481,2213
2541,2799
2542,2873
2543,1196
2573,1524
2574,1949
2575,332
2576,924
2577,740
2578,789
2579,1571
2580,464
2581,1596
2582,2167
2583,2186
2584,1270
2585,2303
2586,2305
2587,397
