seccion,demarcacion,lista_nominal,prioridad,tiene_geometria,origen_demarcacion
0472,Pueblo Nuevo,3049,A,si,cartografia
0473,Santa Rosa Panzacola,1831,A,si,cartografia
0474,Santa Rosa Panzacola,1878,A,si,cartografia
0475,Santa Rosa Panzacola,1850,B,si,cartografia
0476,San Felipe del Agua,1903,B,si,cartografia
0477,Donají,2567,B,si,cartografia
0479,Cabecera Municipal,1790,A,si,cartografia
0480,San Felipe del Agua,2009,B,si,cartografia
0481,Guadalupe Victoria,3950,A,si,cartografia
0483,Santa Rosa Panzacola,1618,B,si,cartografia
0484,Santa Rosa Panzacola,1405,A,si,cartografia
0485,Santa Rosa Panzacola,1265,B,si,cartografia
0486,Santa Rosa Panzacola,1268,,si,cartografia
0487,Santa Rosa Panzacola,1866,B,si,cartografia
0488,Cabecera Municipal,1759,A,si,cartografia
0489,Cabecera Municipal,1527,B,si,cartografia
0490,Cabecera Municipal,1399,A,si,cartografia
0491,Cabecera Municipal,1388,B,si,cartografia
0492,Cabecera Municipal,1644,A,si,cartografia
0494,Cabecera Municipal,1984,A,si,cartografia
0495,Dolores,1793,B,si,cartografia
0496,Cabecera Municipal,1255,,si,cartografia
0497,Cabecera Municipal,1194,B,si,cartografia
0498,Cabecera Municipal,1183,B,si,cartografia
0499,Cabecera Municipal,1207,B,si,cartografia
0501,Santa Rosa Panzacola,1687,B,si,cartografia
0502,Santa Rosa Panzacola,2467,B,si,cartografia
0503,Santa Rosa Panzacola,928,,si,cartografia
0504,Santa Rosa Panzacola,1612,A,si,cartografia
0505,Guadalupe Victoria,1222,,si,cartografia
0506,Santa Rosa Panzacola,1006,,si,cartografia
0507,Cabecera Municipal,1657,B,si,cartografia
0508,Cabecera Municipal,1007,,si,cartografia
0509,Cabecera Municipal,1213,,si,cartografia
0510,Cabecera Municipal,1221,B,si,cartografia
0511,Cabecera Municipal,1447,A,si,cartografia
0512,Cabecera Municipal,1077,,si,cartografia
0513,Cabecera Municipal,1308,,si,cartografia
0514,Dolores,1417,A,si,cartografia
0515,Cabecera Municipal,856,,si,cartografia
0516,Cabecera Municipal,916,,si,cartografia
0517,Cabecera Municipal,1103,,si,cartografia
0518,Cabecera Municipal,944,,si,cartografia
0519,Cabecera Municipal,1136,,si,cartografia
0520,Cabecera Municipal,944,,si,cartografia
0521,Cabecera Municipal,1843,B,si,cartografia
0522,Cabecera Municipal,1107,,si,cartografia
0523,Cabecera Municipal,1041,B,si,cartografia
0524,Montoya,3511,A,si,cartografia
0525,Cabecera Municipal,824,B,si,cartografia
0526,Cabecera Municipal,953,,si,cartografia
0527,Cabecera Municipal,1216,,si,cartografia
0528,Cabecera Municipal,1512,,si,cartografia
0529,Cabecera Municipal,1068,,si,cartografia
0530,Cabecera Municipal,984,,si,cartografia
0531,Cabecera Municipal,674,,si,cartografia
0532,Cabecera Municipal,840,,si,cartografia
0533,Cabecera Municipal,428,,si,cartografia
0534,Cabecera Municipal,958,,si,cartografia
0535,Cabecera Municipal,1258,A,si,cartografia
0536,Cabecera Municipal,667,,si,cartografia
0537,Cabecera Municipal,1004,,si,cartografia
0538,Cabecera Municipal,1007,,si,cartografia
0539,Cabecera Municipal,798,,si,cartografia
0540,Cabecera Municipal,2247,B,si,cartografia
0541,San Martín Mexicapam de Cárdenas,2485,B,si,cartografia
0542,Montoya,1205,,si,cartografia
0544,Cabecera Municipal,1110,,si,cartografia
0545,Cabecera Municipal,745,,si,cartografia
0546,Cabecera Municipal,615,,si,cartografia
0547,Cabecera Municipal,1165,,si,cartografia
0548,Cabecera Municipal,687,,si,cartografia
0549,Cabecera Municipal,407,,si,cartografia
0550,Cabecera Municipal,496,,si,cartografia
0551,Cabecera Municipal,839,,si,cartografia
0552,Cabecera Municipal,1221,,si,cartografia
0553,Cabecera Municipal,1444,B,si,cartografia
0554,Cabecera Municipal,903,,si,cartografia
0555,Cabecera Municipal,836,,si,cartografia
0556,Cabecera Municipal,621,,si,cartografia
0557,Cabecera Municipal,865,,si,cartografia
0558,Cabecera Municipal,814,,si,cartografia
0559,San Martín Mexicapam de Cárdenas,1799,B,si,cartografia
0560,San Martín Mexicapam de Cárdenas,2692,A,si,cartografia
0561,San Martín Mexicapam de Cárdenas,1171,,si,cartografia
0562,San Martín Mexicapam de Cárdenas,997,,si,cartografia
0563,San Martín Mexicapam de Cárdenas,927,,si,cartografia
0564,San Martín Mexicapam de Cárdenas,1217,,si,cartografia
0565,Cabecera Municipal,802,,si,cartografia
0566,Cabecera Municipal,1013,,si,cartografia
0567,San Martín Mexicapam de Cárdenas,671,,si,cartografia
0568,Cabecera Municipal,1081,,si,cartografia
0569,Cabecera Municipal,941,,si,cartografia
0570,Cabecera Municipal,802,,si,cartografia
0571,Cabecera Municipal,570,,si,cartografia
0572,Cabecera Municipal,764,,si,cartografia
0573,Cabecera Municipal,733,,si,cartografia
0574,Cabecera Municipal,1203,,si,cartografia
0575,San Martín Mexicapam de Cárdenas,1376,,si,cartografia
0576,San Martín Mexicapam de Cárdenas,1786,B,si,cartografia
0577,San Martín Mexicapam de Cárdenas,1471,B,si,cartografia
0578,San Martín Mexicapam de Cárdenas,2189,B,si,cartografia
0579,San Martín Mexicapam de Cárdenas,1636,,si,cartografia
0580,San Martín Mexicapam de Cárdenas,1162,,si,cartografia
0581,Cabecera Municipal,1087,,si,cartografia
0582,Cabecera Municipal,1150,B,si,cartografia
0583,Cabecera Municipal,1054,,si,cartografia
0584,Cabecera Municipal,772,,si,cartografia
0585,Cabecera Municipal,811,,si,cartografia
0586,Cabecera Municipal,1092,B,si,cartografia
0587,Cabecera Municipal,1269,B,si,cartografia
0588,Cabecera Municipal,961,,si,cartografia
0589,Cabecera Municipal,1137,,si,cartografia
0590,Cabecera Municipal,1259,,si,cartografia
0591,San Juan Chapultepec,1086,,si,cartografia
0592,San Juan Chapultepec,1326,,si,cartografia
0594,San Juan Chapultepec,1838,,si,cartografia
0595,San Juan Chapultepec,1224,,si,cartografia
0596,San Juan Chapultepec,1886,,si,cartografia
0597,San Juan Chapultepec,1415,,si,cartografia
0598,Cabecera Municipal,629,B,si,cartografia
0599,Cabecera Municipal,665,,si,cartografia
0600,Cabecera Municipal,1478,A,si,cartografia
0601,Cinco Señores,1006,,si,cartografia
0602,Cinco Señores,1265,,si,cartografia
0603,Cinco Señores,639,,si,cartografia
0604,Cabecera Municipal,1010,,si,cartografia
0605,San Juan Chapultepec,1374,,si,cartografia
0606,Cabecera Municipal,1035,A,si,cartografia
0607,Cabecera Municipal,1227,,si,cartografia
0608,Cabecera Municipal,821,,si,cartografia
0609,Cinco Señores,3090,A,si,cartografia
0610,Cinco Señores,796,,si,cartografia
0611,Candiani,1093,,si,cartografia
0612,Cabecera Municipal,1082,,si,cartografia
0613,Candiani,928,,si,cartografia
0614,Candiani,1020,,si,cartografia
0615,Candiani,1192,,si,cartografia
2454,Cabecera Municipal,212,,si,cartografia
2470,Pueblo Nuevo,1030,,si,cartografia
2471,Pueblo Nuevo,968,,si,cartografia
2472,Pueblo Nuevo,1162,,si,cartografia
2473,Pueblo Nuevo,629,,si,cartografia
2474,Pueblo Nuevo,1741,A,si,cartografia
2475,Pueblo Nuevo,867,,si,cartografia
2476,Pueblo Nuevo,1345,A,si,cartografia
2477,Santa Rosa Panzacola,1486,,si,cartografia
2478,Santa Rosa Panzacola,2276,B,si,cartografia
2479,Santa Rosa Panzacola,1408,,si,cartografia
2480,Montoya,2429,A,si,cartografia
2481,Montoya,2213,A,si,cartografia
2541,Pueblo Nuevo,2799,B,no,punto en 0471
2542,Pueblo Nuevo,2873,A,no,punto en 0471
2543,Pueblo Nuevo,1196,,no,sucesora de 0471
2573,Cabecera Municipal,1524,,no,punto en 0493
2574,San Luis Beltrán,1949,A,no,punto en 0478
2575,San Luis Beltrán,332,,no,punto en 0478
2576,Cabecera Municipal,924,,no,punto en 0493
2577,Cabecera Municipal,740,,no,punto en 0493
2578,Cabecera Municipal,789,,no,punto en 0493
2579,Cabecera Municipal,1571,,no,punto en 0494
2580,Cabecera Municipal,464,,no,punto en 0500
2581,Cabecera Municipal,1596,A,no,punto en 0500
2582,Cabecera Municipal,2167,A,no,punto en 0500
2583,San Juan Chapultepec,2186,B,no,punto en 0593
2584,San Juan Chapultepec,1270,,no,punto en 0593
2585,Trinidad de Viguera,2303,,no,punto en 0616
2586,Trinidad de Viguera,2305,,no,punto en 0616
2587,Cabecera Municipal,397,,no,punto en 0523
