seccion,prioridad
2474,A
2476,A
2542,A
0472,A
0473,A
0474,A
0484,A
0504,A
0524,A
2481,A
2480,A
0560,A
0606,A
0600,A
0609,A
0535,A
2582,A
2581,A
0488,A
0481,A
0490,A
0479,A
2574,A
0492,A
0494,A
0514,A
0511,A
2541,B
0475,B
0483,B
0485,B
2478,B
0487,B
0502,B
0501,B
0523,B
0525,B
0521,B
0507,B
0540,B
0559,B
0541,B
0578,B
0577,B
0576,B
2583,B
0582,B
0598,B
0586,B
0587,B
0553,B
0489,B
0510,B
0499,B
0498,B
0497,B
0491,B
0495,B
0480,B
0476,B
0477,B
